STFIPS,AreaName,BaseYear,Base,ProjYear,Proj,Change,PercentChange,AvgAnnualOpenings
1,Alabama,2016,1850,2026,1940,90,4.9,130
2,Alaska,2016,310,2026,310,0,0,20
4,Arizona,2016,7620,2026,8890,1270,16.7,670
5,Arkansas,2016,730,2026,800,70,9.6,60
6,California,2016,34900,2026,39700,4800,13.8,2940
8,Colorado,2016,12030,2026,14400,2370,19.7,1050
9,Connecticut,2016,2000,2026,2240,240,12,160
10,Delaware,2016,190,2026,200,10,5.3,10
11,District of Columbia,2016,17420,2026,18720,1300,7.5,1320
12,Florida,2016,10490,2026,12510,2020,19.3,960
13,Georgia,2016,11150,2026,12580,1430,12.8,920
15,Hawaii,2016,1850,2026,1920,70,3.8,130
16,Idaho,2016,1410,2026,1570,160,11.3,110
17,Illinois,2016,15490,2026,16990,1500,9.7,1220
18,Indiana,2016,2960,2026,3200,240,8.1,230
19,Iowa,2016,2580,2026,2920,340,13.2,220
20,Kansas,2016,1800,2026,1950,150,8.3,140
21,Kentucky,2016,2690,2026,2980,290,10.8,220
22,Louisiana,2016,2870,2026,3360,490,17.1,250
23,Maine,2016,740,2026,770,30,4.1,50
24,Maryland,2016,14460,2026,14780,320,2.2,990
25,Massachusetts,2016,9890,2026,10890,1000,10.1,780
26,Michigan,2016,8230,2026,8890,660,8,630
27,Minnesota,2016,7080,2026,7760,680,9.6,560
28,Mississippi,2016,660,2026,680,20,3,50
29,Missouri,2016,5760,2026,6610,850,14.8,490
30,Montana,2016,710,2026,810,100,14.1,60
31,Nebraska,2016,1490,2026,1700,210,14.1,130
32,Nevada,2016,2470,2026,3090,620,25.1,250
33,New Hampshire,2016,650,2026,710,60,9.2,50
34,New Jersey,2016,10280,2026,11020,740,7.2,770
35,New Mexico,2016,960,2026,1020,60,6.3,70
36,New York,2016,4530,2026,5010,480,10.6,360
37,North Carolina,2016,4430,2026,4940,510,11.5,360
38,North Dakota,2016,760,2026,880,120,15.8,70
39,Ohio,2016,6440,2026,6930,490,7.6,490
40,Oklahoma,2016,2670,2026,2880,210,7.9,200
41,Oregon,2016,6570,2026,7560,990,15.1,560
42,Pennsylvania,2016,10770,2026,11560,790,7.3,810
44,Rhode Island,2016,1100,2026,1220,120,10.9,90
45,South Carolina,2016,1610,2026,1740,130,8.1,120
46,South Dakota,2016,210,2026,220,10,4.8,20
47,Tennessee,2016,3430,2026,4150,720,21,320
48,Texas,2016,17240,2026,19960,2720,15.8,1500
49,Utah,2016,3390,2026,4530,1140,33.6,370
50,Vermont,2016,210,2026,220,10,4.8,20
78,Virgin Islands,2016,20,2026,20,0,0,0
51,Virginia,2016,13300,2026,14840,1540,11.6,1080
53,Washington,2016,15600,2026,23930,8330,53.4,2160
54,West Virginia,2016,1920,2026,2000,80,4.2,140
55,Wisconsin,2016,2950,2026,3250,300,10.2,230
56,Wyoming,2016,140,2026,150,10,7.1,10
