STFIPS,AreaName,OccupationCode,OccupationName,BaseYear,Base,ProjYear,Proj,Change,PercentChange,AvgAnnualOpenings,,"Source Info: Short Term Occupational Projections (2018-2020) (https://projectionscentral.com/Projections/ShortTerm)
"
2,Alaska,15-1199,"Computer Occupations, All Other",2018,290,2020,300,10,3.4,20,,
4,Arizona,15-1199,"Computer Occupations, All Other",2018,7350,2020,7820,470,6.4,730,,
5,Arkansas,15-1199,"Computer Occupations, All Other",2018,850,2020,870,20,2.4,60,,
6,California,15-1199,"Computer Occupations, All Other",2018,36300,2020,37800,1500,4.1,3170,,
8,Colorado,15-1199,"Computer Occupations, All Other",2018,12640,2020,13130,490,3.9,1090,,
9,Connecticut,15-1199,"Computer Occupations, All Other",2018,2050,2020,2090,40,2,160,,
11,District of Columbia,15-1199,"Computer Occupations, All Other",2018,21290,2020,21810,520,2.4,1670,,
12,Florida,15-1199,"Computer Occupations, All Other",2018,11140,2020,11590,450,4,970,,
13,Georgia,15-1199,"Computer Occupations, All Other",2018,11360,2020,11760,400,3.5,960,,
15,Hawaii,15-1199,"Computer Occupations, All Other",2018,1850,2020,1860,10,0.5,130,,
16,Idaho,15-1199,"Computer Occupations, All Other",2018,2160,2020,2180,20,0.9,150,,
17,Illinois,15-1199,"Computer Occupations, All Other",2018,15570,2020,16040,470,3,1270,,
18,Indiana,15-1199,"Computer Occupations, All Other",2018,2980,2020,3020,40,1.3,220,,
19,Iowa,15-1199,"Computer Occupations, All Other",2018,3660,2020,3720,60,1.6,280,,
20,Kansas,15-1199,"Computer Occupations, All Other",2018,1850,2020,1880,30,1.6,140,,
21,Kentucky,15-1199,"Computer Occupations, All Other",2018,2680,2020,2780,100,3.7,230,,
23,Maine,15-1199,"Computer Occupations, All Other",2018,710,2020,720,10,1.4,50,,
24,Maryland,15-1199,"Computer Occupations, All Other",2018,14840,2020,14880,40,0.3,1000,,
25,Massachusetts,15-1199,"Computer Occupations, All Other",2018,10200,2020,10520,320,3.1,840,,
26,Michigan,15-1199,"Computer Occupations, All Other",2018,10630,2020,10830,200,1.9,810,,
27,Minnesota,15-1199,"Computer Occupations, All Other",2018,7030,2020,7150,120,1.7,530,,
28,Mississippi,15-1199,"Computer Occupations, All Other",2018,650,2020,650,0,0,40,,
29,Missouri,15-1199,"Computer Occupations, All Other",2018,6120,2020,6270,150,2.5,480,,
30,Montana,15-1199,"Computer Occupations, All Other",2018,760,2020,780,20,2.6,60,,
31,Nebraska,15-1199,"Computer Occupations, All Other",2018,1510,2020,1610,100,6.6,150,,
32,Nevada,15-1199,"Computer Occupations, All Other",2018,2670,2020,2840,170,6.4,270,,
33,New Hampshire,15-1199,"Computer Occupations, All Other",2018,680,2020,700,20,2.9,60,,
34,New Jersey,15-1199,"Computer Occupations, All Other",2018,10420,2020,10560,140,1.3,760,,
35,New Mexico,15-1199,"Computer Occupations, All Other",2018,960,2020,970,10,1,70,,
36,New York,15-1199,"Computer Occupations, All Other",2018,4340,2020,4400,60,1.4,320,,
37,North Carolina,15-1199,"Computer Occupations, All Other",2018,5640,2020,5870,230,4.1,490,,
38,North Dakota,15-1199,"Computer Occupations, All Other",2018,750,2020,760,10,1.3,60,,
39,Ohio,15-1199,"Computer Occupations, All Other",2018,6550,2020,6680,130,2,500,,
40,Oklahoma,15-1199,"Computer Occupations, All Other",2018,2710,2020,2790,80,3,220,,
41,Oregon,15-1199,"Computer Occupations, All Other",2018,6570,2020,6890,320,4.9,600,,
42,Pennsylvania,15-1199,"Computer Occupations, All Other",2018,11580,2020,11790,210,1.8,870,,
44,Rhode Island,15-1199,"Computer Occupations, All Other",2018,1140,2020,1160,20,1.8,90,,
45,South Carolina,15-1199,"Computer Occupations, All Other",2018,1680,2020,1720,40,2.4,130,,
46,South Dakota,15-1199,"Computer Occupations, All Other",2018,220,2020,220,0,0,20,,
47,Tennessee,15-1199,"Computer Occupations, All Other",2018,3470,2020,3550,80,2.3,270,,
48,Texas,15-1199,"Computer Occupations, All Other",2018,19110,2020,19810,700,3.7,1630,,
49,Utah,15-1199,"Computer Occupations, All Other",2018,5360,2020,5750,390,7.3,560,,
50,Vermont,15-1199,"Computer Occupations, All Other",2018,200,2020,210,10,5,20,,
51,Virginia,15-1199,"Computer Occupations, All Other",2018,13540,2020,13730,190,1.4,990,,
53,Washington,15-1199,"Computer Occupations, All Other",2018,17680,2020,19300,1620,9.2,2030,,
54,West Virginia,15-1199,"Computer Occupations, All Other",2018,1860,2020,1870,10,0.5,130,,
55,Wisconsin,15-1199,"Computer Occupations, All Other",2018,3060,2020,3150,90,2.9,250,,
56,Wyoming,15-1199,"Computer Occupations, All Other",2018,140,2020,150,10,7.1,10,,
