SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,3,6,01,Alabama,0,0,1,40,46356,46360,46803,47154,43779,41243,39841,40421,38437,39735,39661
040,3,6,01,Alabama,0,0,2,40,16132,16135,16299,16717,16521,16105,15624,15839,15244,16027,16194
040,3,6,01,Alabama,0,0,3,40,474,474,483,490,442,413,454,463,449,486,477
040,3,6,01,Alabama,0,0,4,40,1071,1071,1094,1110,1131,1148,1105,1132,1150,1195,1171
040,3,6,01,Alabama,0,0,5,40,58,58,63,86,75,72,75,80,58,86,83
040,3,6,01,Alabama,0,0,6,40,626,626,636,646,621,615,628,647,646,680,657
040,3,6,01,Alabama,0,1,1,40,44313,44317,44737,44979,41607,38943,37565,37799,35904,37086,37045
040,3,6,01,Alabama,0,1,2,40,15975,15978,16143,16567,16355,15921,15436,15670,15065,15818,15966
040,3,6,01,Alabama,0,1,3,40,379,379,385,392,355,336,343,341,334,362,338
040,3,6,01,Alabama,0,1,4,40,1054,1054,1075,1086,1118,1120,1083,1111,1124,1169,1135
040,3,6,01,Alabama,0,1,5,40,17,17,21,40,34,34,23,32,23,45,30
040,3,6,01,Alabama,0,1,6,40,572,572,579,580,562,544,555,553,556,588,565
040,3,6,01,Alabama,0,2,1,40,2043,2043,2066,2175,2172,2300,2276,2622,2533,2649,2616
040,3,6,01,Alabama,0,2,2,40,157,157,156,150,166,184,188,169,179,209,228
040,3,6,01,Alabama,0,2,3,40,95,95,98,98,87,77,111,122,115,124,139
040,3,6,01,Alabama,0,2,4,40,17,17,19,24,13,28,22,21,26,26,36
040,3,6,01,Alabama,0,2,5,40,41,41,42,46,41,38,52,48,35,41,53
040,3,6,01,Alabama,0,2,6,40,54,54,57,66,59,71,73,94,90,92,92
040,3,6,01,Alabama,1,0,1,40,23414,23418,23615,23789,22093,20660,19942,20253,19168,19759,19726
040,3,6,01,Alabama,1,0,2,40,7330,7333,7397,7545,7381,7200,7022,7155,6802,7139,7185
040,3,6,01,Alabama,1,0,3,40,235,235,239,252,229,199,235,243,224,261,263
